Full Name,County,State,Population (as of July 2019)
"Dickens County, Texas",Dickens County,Texas,2211
"Dimmit County, Texas",Dimmit County,Texas,10124
"Donley County, Texas",Donley County,Texas,3278
"Duval County, Texas",Duval County,Texas,11157
"Eastland County, Texas",Eastland County,Texas,18360
"Ector County, Texas",Ector County,Texas,166223
"Edwards County, Texas",Edwards County,Texas,1932
"Ellis County, Texas",Ellis County,Texas,184826
"El Paso County, Texas",El Paso County,Texas,839238
"Erath County, Texas",Erath County,Texas,42698
"Falls County, Texas",Falls County,Texas,17297
"Fannin County, Texas",Fannin County,Texas,35514
"Fayette County, Texas",Fayette County,Texas,25346
"Fisher County, Texas",Fisher County,Texas,3830
"Floyd County, Texas",Floyd County,Texas,5712
"Foard County, Texas",Foard County,Texas,1155
"Fort Bend County, Texas",Fort Bend County,Texas,811688
"Franklin County, Texas",Franklin County,Texas,10725
"Freestone County, Texas",Freestone County,Texas,19717
"Frio County, Texas",Frio County,Texas,20306
"Gaines County, Texas",Gaines County,Texas,21492
"Galveston County, Texas",Galveston County,Texas,342139
"Garza County, Texas",Garza County,Texas,6229
"Gillespie County, Texas",Gillespie County,Texas,26988
"Glasscock County, Texas",Glasscock County,Texas,1409
"Goliad County, Texas",Goliad County,Texas,7658
"Gonzales County, Texas",Gonzales County,Texas,20837
"Gray County, Texas",Gray County,Texas,21886
"Grayson County, Texas",Grayson County,Texas,136212
"Gregg County, Texas",Gregg County,Texas,123945
"Grimes County, Texas",Grimes County,Texas,28880
"Guadalupe County, Texas",Guadalupe County,Texas,166847
"Hale County, Texas",Hale County,Texas,33406
"Hall County, Texas",Hall County,Texas,2964
"Hamilton County, Texas",Hamilton County,Texas,8461
"Hansford County, Texas",Hansford County,Texas,5399
"Hardeman County, Texas",Hardeman County,Texas,3933
"Hardin County, Texas",Hardin County,Texas,57602
"Harris County, Texas",Harris County,Texas,4713325
"Harrison County, Texas",Harrison County,Texas,66553
"Hartley County, Texas",Hartley County,Texas,5576
"Haskell County, Texas",Haskell County,Texas,5658
"Hays County, Texas",Hays County,Texas,230191
"Hemphill County, Texas",Hemphill County,Texas,3819
"Henderson County, Texas",Henderson County,Texas,82737
"Hidalgo County, Texas",Hidalgo County,Texas,868707
"Hill County, Texas",Hill County,Texas,36649
"Hockley County, Texas",Hockley County,Texas,23021
"Hood County, Texas",Hood County,Texas,61643
"Hopkins County, Texas",Hopkins County,Texas,37084
"Houston County, Texas",Houston County,Texas,22968
"Howard County, Texas",Howard County,Texas,36664
"Hudspeth County, Texas",Hudspeth County,Texas,4886
"Hunt County, Texas",Hunt County,Texas,98594
"Hutchinson County, Texas",Hutchinson County,Texas,20938
"Irion County, Texas",Irion County,Texas,1536
"Jack County, Texas",Jack County,Texas,8935
"Jackson County, Texas",Jackson County,Texas,14760
"Jasper County, Texas",Jasper County,Texas,35529
"Jeff Davis County, Texas",Jeff Davis County,Texas,2274
"Jefferson County, Texas",Jefferson County,Texas,251565
"Jim Hogg County, Texas",Jim Hogg County,Texas,5200
"Jim Wells County, Texas",Jim Wells County,Texas,40482
"Johnson County, Texas",Johnson County,Texas,175817
"Jones County, Texas",Jones County,Texas,20083
"Karnes County, Texas",Karnes County,Texas,15601
"Kaufman County, Texas",Kaufman County,Texas,136154
"Kendall County, Texas",Kendall County,Texas,47431
"Kenedy County, Texas",Kenedy County,Texas,404
"Kent County, Texas",Kent County,Texas,762
"Kerr County, Texas",Kerr County,Texas,52600
"Kimble County, Texas",Kimble County,Texas,4337
"King County, Texas",King County,Texas,272
"Kinney County, Texas",Kinney County,Texas,3667
"Kleberg County, Texas",Kleberg County,Texas,30680
"Knox County, Texas",Knox County,Texas,3664
"Lamar County, Texas",Lamar County,Texas,49859
"Lamb County, Texas",Lamb County,Texas,12893
"Lampasas County, Texas",Lampasas County,Texas,21428
"La Salle County, Texas",La Salle County,Texas,7520
"Lavaca County, Texas",Lavaca County,Texas,20154
"Lee County, Texas",Lee County,Texas,17239
"Leon County, Texas",Leon County,Texas,17404
"Liberty County, Texas",Liberty County,Texas,88219
"Limestone County, Texas",Limestone County,Texas,23437
"Lipscomb County, Texas",Lipscomb County,Texas,3233
"Live Oak County, Texas",Live Oak County,Texas,12207
"Llano County, Texas",Llano County,Texas,21795
"Loving County, Texas",Loving County,Texas,169
"Lubbock County, Texas",Lubbock County,Texas,310569
"Lynn County, Texas",Lynn County,Texas,5951
"McCulloch County, Texas",McCulloch County,Texas,7984
"McLennan County, Texas",McLennan County,Texas,256623
"McMullen County, Texas",McMullen County,Texas,743
"Madison County, Texas",Madison County,Texas,14284
"Marion County, Texas",Marion County,Texas,9854
"Martin County, Texas",Martin County,Texas,5771
"Mason County, Texas",Mason County,Texas,4274
"Matagorda County, Texas",Matagorda County,Texas,36643
"Maverick County, Texas",Maverick County,Texas,58722
"Medina County, Texas",Medina County,Texas,51584
"Menard County, Texas",Menard County,Texas,2138
"Midland County, Texas",Midland County,Texas,176832
"Milam County, Texas",Milam County,Texas,24823
"Mills County, Texas",Mills County,Texas,4873
"Mitchell County, Texas",Mitchell County,Texas,8545
"Montague County, Texas",Montague County,Texas,19818
"Montgomery County, Texas",Montgomery County,Texas,607391
"Moore County, Texas",Moore County,Texas,20940
"Morris County, Texas",Morris County,Texas,12388
"Motley County, Texas",Motley County,Texas,1200
"Nacogdoches County, Texas",Nacogdoches County,Texas,65204
"Navarro County, Texas",Navarro County,Texas,50113
"Newton County, Texas",Newton County,Texas,13595
"Nolan County, Texas",Nolan County,Texas,14714
"Nueces County, Texas",Nueces County,Texas,362294
"Ochiltree County, Texas",Ochiltree County,Texas,9836
"Oldham County, Texas",Oldham County,Texas,2112
"Orange County, Texas",Orange County,Texas,83396
"Palo Pinto County, Texas",Palo Pinto County,Texas,29189
"Panola County, Texas",Panola County,Texas,23194
"Parker County, Texas",Parker County,Texas,142878
"Parmer County, Texas",Parmer County,Texas,9605
"Pecos County, Texas",Pecos County,Texas,15823
"Polk County, Texas",Polk County,Texas,51353
"Potter County, Texas",Potter County,Texas,117415
"Presidio County, Texas",Presidio County,Texas,6704
"Rains County, Texas",Rains County,Texas,12514
"Randall County, Texas",Randall County,Texas,137713
"Reagan County, Texas",Reagan County,Texas,3849
"Real County, Texas",Real County,Texas,3452
"Red River County, Texas",Red River County,Texas,12023
"Reeves County, Texas",Reeves County,Texas,15976
"Refugio County, Texas",Refugio County,Texas,6948
"Roberts County, Texas",Roberts County,Texas,854
"Robertson County, Texas",Robertson County,Texas,17074
"Rockwall County, Texas",Rockwall County,Texas,104915
"Runnels County, Texas",Runnels County,Texas,10264
"Rusk County, Texas",Rusk County,Texas,54406
"Sabine County, Texas",Sabine County,Texas,10542
"San Augustine County, Texas",San Augustine County,Texas,8237
"San Jacinto County, Texas",San Jacinto County,Texas,28859
"San Patricio County, Texas",San Patricio County,Texas,66730
"San Saba County, Texas",San Saba County,Texas,6055
"Schleicher County, Texas",Schleicher County,Texas,2793
"Scurry County, Texas",Scurry County,Texas,16703
"Shackelford County, Texas",Shackelford County,Texas,3265
"Shelby County, Texas",Shelby County,Texas,25274
"Sherman County, Texas",Sherman County,Texas,3022
"Smith County, Texas",Smith County,Texas,232751
"Somervell County, Texas",Somervell County,Texas,9128
"Starr County, Texas",Starr County,Texas,64633
"Stephens County, Texas",Stephens County,Texas,9366
"Sterling County, Texas",Sterling County,Texas,1291
"Stonewall County, Texas",Stonewall County,Texas,1350
"Sutton County, Texas",Sutton County,Texas,3776
"Swisher County, Texas",Swisher County,Texas,7397
"Tarrant County, Texas",Tarrant County,Texas,2102515
"Taylor County, Texas",Taylor County,Texas,138034
"Terrell County, Texas",Terrell County,Texas,776
"Terry County, Texas",Terry County,Texas,12337
"Throckmorton County, Texas",Throckmorton County,Texas,1501
"Titus County, Texas",Titus County,Texas,32750
"Tom Green County, Texas",Tom Green County,Texas,119200
"Travis County, Texas",Travis County,Texas,1273954
"Trinity County, Texas",Trinity County,Texas,14651
"Tyler County, Texas",Tyler County,Texas,21672
"Upshur County, Texas",Upshur County,Texas,41753
"Upton County, Texas",Upton County,Texas,3657
"Uvalde County, Texas",Uvalde County,Texas,26741
"Val Verde County, Texas",Val Verde County,Texas,49025
"Van Zandt County, Texas",Van Zandt County,Texas,56590
"Victoria County, Texas",Victoria County,Texas,92084
"Walker County, Texas",Walker County,Texas,72971
"Waller County, Texas",Waller County,Texas,55246
"Ward County, Texas",Ward County,Texas,11998
"Washington County, Texas",Washington County,Texas,35882
"Webb County, Texas",Webb County,Texas,276652
"Wharton County, Texas",Wharton County,Texas,41556
"Wheeler County, Texas",Wheeler County,Texas,5056
"Wichita County, Texas",Wichita County,Texas,132230
"Wilbarger County, Texas",Wilbarger County,Texas,12769
"Willacy County, Texas",Willacy County,Texas,21358
"Williamson County, Texas",Williamson County,Texas,590551
"Wilson County, Texas",Wilson County,Texas,51070
"Winkler County, Texas",Winkler County,Texas,8010
"Wise County, Texas",Wise County,Texas,69984
"Wood County, Texas",Wood County,Texas,45539
"Yoakum County, Texas",Yoakum County,Texas,8713
"Young County, Texas",Young County,Texas,18010
"Zapata County, Texas",Zapata County,Texas,14179
"Zavala County, Texas",Zavala County,Texas,11840
"Beaver County, Utah",Beaver County,Utah,6710
"Box Elder County, Utah",Box Elder County,Utah,56046
"Cache County, Utah",Cache County,Utah,128289
"Carbon County, Utah",Carbon County,Utah,20463
"Daggett County, Utah",Daggett County,Utah,950
"Davis County, Utah",Davis County,Utah,355481
"Duchesne County, Utah",Duchesne County,Utah,19938
"Emery County, Utah",Emery County,Utah,10012
"Garfield County, Utah",Garfield County,Utah,5051
"Grand County, Utah",Grand County,Utah,9754
"Iron County, Utah",Iron County,Utah,54839
"Juab County, Utah",Juab County,Utah,12017
"Kane County, Utah",Kane County,Utah,7886
"Millard County, Utah",Millard County,Utah,13188
"Morgan County, Utah",Morgan County,Utah,12124
"Piute County, Utah",Piute County,Utah,1479
"Rich County, Utah",Rich County,Utah,2483
"Salt Lake County, Utah",Salt Lake County,Utah,1160437
"San Juan County, Utah",San Juan County,Utah,15308
"Sanpete County, Utah",Sanpete County,Utah,30939
"Sevier County, Utah",Sevier County,Utah,21620
"Summit County, Utah",Summit County,Utah,42145
"Tooele County, Utah",Tooele County,Utah,72259
"Uintah County, Utah",Uintah County,Utah,35734
"Utah County, Utah",Utah County,Utah,636235
"Wasatch County, Utah",Wasatch County,Utah,34091
"Washington County, Utah",Washington County,Utah,177556
"Wayne County, Utah",Wayne County,Utah,2711
"Weber County, Utah",Weber County,Utah,260213
"Addison County, Vermont",Addison County,Vermont,36777
"Bennington County, Vermont",Bennington County,Vermont,35470
"Caledonia County, Vermont",Caledonia County,Vermont,29993
"Chittenden County, Vermont",Chittenden County,Vermont,163774
"Essex County, Vermont",Essex County,Vermont,6163
"Franklin County, Vermont",Franklin County,Vermont,49402
"Grand Isle County, Vermont",Grand Isle County,Vermont,7235
"Lamoille County, Vermont",Lamoille County,Vermont,25362
"Orange County, Vermont",Orange County,Vermont,28892
"Orleans County, Vermont",Orleans County,Vermont,27037
"Rutland County, Vermont",Rutland County,Vermont,58191
"Washington County, Vermont",Washington County,Vermont,58409
"Windham County, Vermont",Windham County,Vermont,42222
"Windsor County, Vermont",Windsor County,Vermont,55062
"Accomack County, Virginia",Accomack County,Virginia,32316
"Albemarle County, Virginia",Albemarle County,Virginia,109330
"Alleghany County, Virginia",Alleghany County,Virginia,14860
"Amelia County, Virginia",Amelia County,Virginia,13145
"Amherst County, Virginia",Amherst County,Virginia,31605
"Appomattox County, Virginia",Appomattox County,Virginia,15911
"Arlington County, Virginia",Arlington County,Virginia,236842
"Augusta County, Virginia",Augusta County,Virginia,75558
"Bath County, Virginia",Bath County,Virginia,4147
"Bedford County, Virginia",Bedford County,Virginia,78997
"Bland County, Virginia",Bland County,Virginia,6280
"Botetourt County, Virginia",Botetourt County,Virginia,33419
"Brunswick County, Virginia",Brunswick County,Virginia,16231
"Buchanan County, Virginia",Buchanan County,Virginia,21004
"Buckingham County, Virginia",Buckingham County,Virginia,17148
"Campbell County, Virginia",Campbell County,Virginia,54885
"Caroline County, Virginia",Caroline County,Virginia,30725
"Carroll County, Virginia",Carroll County,Virginia,29791
"Charles City County, Virginia",Charles City County,Virginia,6963
"Charlotte County, Virginia",Charlotte County,Virginia,11880
"Chesterfield County, Virginia",Chesterfield County,Virginia,352802
"Clarke County, Virginia",Clarke County,Virginia,14619
"Craig County, Virginia",Craig County,Virginia,5131
"Culpeper County, Virginia",Culpeper County,Virginia,52605
"Cumberland County, Virginia",Cumberland County,Virginia,9932
"Dickenson County, Virginia",Dickenson County,Virginia,14318
"Dinwiddie County, Virginia",Dinwiddie County,Virginia,28544
"Essex County, Virginia",Essex County,Virginia,10953
"Fairfax County, Virginia",Fairfax County,Virginia,1147532
"Fauquier County, Virginia",Fauquier County,Virginia,71222
"Floyd County, Virginia",Floyd County,Virginia,15749
"Fluvanna County, Virginia",Fluvanna County,Virginia,27270
"Franklin County, Virginia",Franklin County,Virginia,56042
"Frederick County, Virginia",Frederick County,Virginia,89313
"Giles County, Virginia",Giles County,Virginia,16720
"Gloucester County, Virginia",Gloucester County,Virginia,37348
"Goochland County, Virginia",Goochland County,Virginia,23753
"Grayson County, Virginia",Grayson County,Virginia,15550
"Greene County, Virginia",Greene County,Virginia,19819
"Greensville County, Virginia",Greensville County,Virginia,11336
"Halifax County, Virginia",Halifax County,Virginia,33911
"Hanover County, Virginia",Hanover County,Virginia,107766
"Henrico County, Virginia",Henrico County,Virginia,330818
"Henry County, Virginia",Henry County,Virginia,50557
"Highland County, Virginia",Highland County,Virginia,2190
"Isle of Wight County, Virginia",Isle of Wight County,Virginia,37109
"James City County, Virginia",James City County,Virginia,76523
"King and Queen County, Virginia",King and Queen County,Virginia,7025
"King George County, Virginia",King George County,Virginia,26836
"King William County, Virginia",King William County,Virginia,17148
"Lancaster County, Virginia",Lancaster County,Virginia,10603
"Lee County, Virginia",Lee County,Virginia,23423
"Loudoun County, Virginia",Loudoun County,Virginia,413538
"Louisa County, Virginia",Louisa County,Virginia,37591
"Lunenburg County, Virginia",Lunenburg County,Virginia,12196
"Madison County, Virginia",Madison County,Virginia,13261
"Mathews County, Virginia",Mathews County,Virginia,8834
"Mecklenburg County, Virginia",Mecklenburg County,Virginia,30587
"Middlesex County, Virginia",Middlesex County,Virginia,10582
"Montgomery County, Virginia",Montgomery County,Virginia,98535
"Nelson County, Virginia",Nelson County,Virginia,14930
"New Kent County, Virginia",New Kent County,Virginia,23091
"Northampton County, Virginia",Northampton County,Virginia,11710
"Northumberland County, Virginia",Northumberland County,Virginia,12095
"Nottoway County, Virginia",Nottoway County,Virginia,15232
"Orange County, Virginia",Orange County,Virginia,37051
"Page County, Virginia",Page County,Virginia,23902
"Patrick County, Virginia",Patrick County,Virginia,17608
"Pittsylvania County, Virginia",Pittsylvania County,Virginia,60354
"Powhatan County, Virginia",Powhatan County,Virginia,29652
"Prince Edward County, Virginia",Prince Edward County,Virginia,22802
"Prince George County, Virginia",Prince George County,Virginia,38353
"Prince William County, Virginia",Prince William County,Virginia,470335
"Pulaski County, Virginia",Pulaski County,Virginia,34027
"Rappahannock County, Virginia",Rappahannock County,Virginia,7370
"Richmond County, Virginia",Richmond County,Virginia,9023
"Roanoke County, Virginia",Roanoke County,Virginia,94186
"Rockbridge County, Virginia",Rockbridge County,Virginia,22573
"Rockingham County, Virginia",Rockingham County,Virginia,81948
"Russell County, Virginia",Russell County,Virginia,26586
"Scott County, Virginia",Scott County,Virginia,21566
"Shenandoah County, Virginia",Shenandoah County,Virginia,43616
"Smyth County, Virginia",Smyth County,Virginia,30104
"Southampton County, Virginia",Southampton County,Virginia,17631
"Spotsylvania County, Virginia",Spotsylvania County,Virginia,136215
"Stafford County, Virginia",Stafford County,Virginia,152882
"Surry County, Virginia",Surry County,Virginia,6422
"Sussex County, Virginia",Sussex County,Virginia,11159
"Tazewell County, Virginia",Tazewell County,Virginia,40595
"Warren County, Virginia",Warren County,Virginia,40164
"Washington County, Virginia",Washington County,Virginia,53740
"Westmoreland County, Virginia",Westmoreland County,Virginia,18015
"Wise County, Virginia",Wise County,Virginia,37383
"Wythe County, Virginia",Wythe County,Virginia,28684
"York County, Virginia",York County,Virginia,68280
"Alexandria city, Virginia",Alexandria city,Virginia,159428
"Bristol city, Virginia",Bristol city,Virginia,16762
"Buena Vista city, Virginia",Buena Vista city,Virginia,6478
"Charlottesville city, Virginia",Charlottesville city,Virginia,47266
"Chesapeake city, Virginia",Chesapeake city,Virginia,244835
"Colonial Heights city, Virginia",Colonial Heights city,Virginia,17370
"Covington city, Virginia",Covington city,Virginia,5538
"Danville city, Virginia",Danville city,Virginia,40044
"Emporia city, Virginia",Emporia city,Virginia,5346
"Fairfax city, Virginia",Fairfax city,Virginia,24019
"Falls Church city, Virginia",Falls Church city,Virginia,14617
"Franklin city, Virginia",Franklin city,Virginia,7967
"Fredericksburg city, Virginia",Fredericksburg city,Virginia,29036
"Galax city, Virginia",Galax city,Virginia,6347
"Hampton city, Virginia",Hampton city,Virginia,134510
"Harrisonburg city, Virginia",Harrisonburg city,Virginia,53016
"Hopewell city, Virginia",Hopewell city,Virginia,22529
"Lexington city, Virginia",Lexington city,Virginia,7446
"Lynchburg city, Virginia",Lynchburg city,Virginia,82168
"Manassas city, Virginia",Manassas city,Virginia,41085
"Manassas Park city, Virginia",Manassas Park city,Virginia,17478
"Martinsville city, Virginia",Martinsville city,Virginia,12554
"Newport News city, Virginia",Newport News city,Virginia,179225
"Norfolk city, Virginia",Norfolk city,Virginia,242742
"Norton city, Virginia",Norton city,Virginia,3981
"Petersburg city, Virginia",Petersburg city,Virginia,31346
"Poquoson city, Virginia",Poquoson city,Virginia,12271
"Portsmouth city, Virginia",Portsmouth city,Virginia,94398
"Radford city, Virginia",Radford city,Virginia,18249
"Richmond city, Virginia",Richmond city,Virginia,230436
"Roanoke city, Virginia",Roanoke city,Virginia,99143
"Salem city, Virginia",Salem city,Virginia,25301
"Staunton city, Virginia",Staunton city,Virginia,24932
"Suffolk city, Virginia",Suffolk city,Virginia,92108
"Virginia Beach city, Virginia",Virginia Beach city,Virginia,449974
"Waynesboro city, Virginia",Waynesboro city,Virginia,22630
"Williamsburg city, Virginia",Williamsburg city,Virginia,14954
"Winchester city, Virginia",Winchester city,Virginia,28078
"Adams County, Washington",Adams County,Washington,19983
"Asotin County, Washington",Asotin County,Washington,22582
"Benton County, Washington",Benton County,Washington,204390
"Chelan County, Washington",Chelan County,Washington,77200
"Clallam County, Washington",Clallam County,Washington,77331
"Clark County, Washington",Clark County,Washington,488241
"Columbia County, Washington",Columbia County,Washington,3985
"Cowlitz County, Washington",Cowlitz County,Washington,110593
"Douglas County, Washington",Douglas County,Washington,43429
"Ferry County, Washington",Ferry County,Washington,7627
"Franklin County, Washington",Franklin County,Washington,95222
"Garfield County, Washington",Garfield County,Washington,2225
"Grant County, Washington",Grant County,Washington,97733
"Grays Harbor County, Washington",Grays Harbor County,Washington,75061
"Island County, Washington",Island County,Washington,85141
"Jefferson County, Washington",Jefferson County,Washington,32221
"King County, Washington",King County,Washington,2252782
"Kitsap County, Washington",Kitsap County,Washington,271473
"Kittitas County, Washington",Kittitas County,Washington,47935
"Klickitat County, Washington",Klickitat County,Washington,22425
"Lewis County, Washington",Lewis County,Washington,80707
"Lincoln County, Washington",Lincoln County,Washington,10939
"Mason County, Washington",Mason County,Washington,66768
"Okanogan County, Washington",Okanogan County,Washington,42243
"Pacific County, Washington",Pacific County,Washington,22471
"Pend Oreille County, Washington",Pend Oreille County,Washington,13724
"Pierce County, Washington",Pierce County,Washington,904980
"San Juan County, Washington",San Juan County,Washington,17582
"Skagit County, Washington",Skagit County,Washington,129205
"Skamania County, Washington",Skamania County,Washington,12083
"Snohomish County, Washington",Snohomish County,Washington,822083
"Spokane County, Washington",Spokane County,Washington,522798
"Stevens County, Washington",Stevens County,Washington,45723
"Thurston County, Washington",Thurston County,Washington,290536
"Wahkiakum County, Washington",Wahkiakum County,Washington,4488
"Walla Walla County, Washington",Walla Walla County,Washington,60760
"Whatcom County, Washington",Whatcom County,Washington,229247
"Whitman County, Washington",Whitman County,Washington,50104
"Yakima County, Washington",Yakima County,Washington,250873
"Barbour County, West Virginia",Barbour County,West Virginia,16441
"Berkeley County, West Virginia",Berkeley County,West Virginia,119171
"Boone County, West Virginia",Boone County,West Virginia,21457
"Braxton County, West Virginia",Braxton County,West Virginia,13957
"Brooke County, West Virginia",Brooke County,West Virginia,21939
"Cabell County, West Virginia",Cabell County,West Virginia,91945
"Calhoun County, West Virginia",Calhoun County,West Virginia,7109
"Clay County, West Virginia",Clay County,West Virginia,8508
"Doddridge County, West Virginia",Doddridge County,West Virginia,8448
"Fayette County, West Virginia",Fayette County,West Virginia,42406
"Gilmer County, West Virginia",Gilmer County,West Virginia,7823
"Grant County, West Virginia",Grant County,West Virginia,11568
"Greenbrier County, West Virginia",Greenbrier County,West Virginia,34662
"Hampshire County, West Virginia",Hampshire County,West Virginia,23175
"Hancock County, West Virginia",Hancock County,West Virginia,28810
"Hardy County, West Virginia",Hardy County,West Virginia,13776
"Harrison County, West Virginia",Harrison County,West Virginia,67256
"Jackson County, West Virginia",Jackson County,West Virginia,28576
"Jefferson County, West Virginia",Jefferson County,West Virginia,57146
"Kanawha County, West Virginia",Kanawha County,West Virginia,178124
"Lewis County, West Virginia",Lewis County,West Virginia,15907
"Lincoln County, West Virginia",Lincoln County,West Virginia,20409
"Logan County, West Virginia",Logan County,West Virginia,32019
"McDowell County, West Virginia",McDowell County,West Virginia,17624
"Marion County, West Virginia",Marion County,West Virginia,56072
"Marshall County, West Virginia",Marshall County,West Virginia,30531
"Mason County, West Virginia",Mason County,West Virginia,26516
"Mercer County, West Virginia",Mercer County,West Virginia,58758
"Mineral County, West Virginia",Mineral County,West Virginia,26868
"Mingo County, West Virginia",Mingo County,West Virginia,23424
"Monongalia County, West Virginia",Monongalia County,West Virginia,105612
"Monroe County, West Virginia",Monroe County,West Virginia,13275
"Morgan County, West Virginia",Morgan County,West Virginia,17884
"Nicholas County, West Virginia",Nicholas County,West Virginia,24496
"Ohio County, West Virginia",Ohio County,West Virginia,41411
"Pendleton County, West Virginia",Pendleton County,West Virginia,6969
"Pleasants County, West Virginia",Pleasants County,West Virginia,7460
"Pocahontas County, West Virginia",Pocahontas County,West Virginia,8247
"Preston County, West Virginia",Preston County,West Virginia,33432
"Putnam County, West Virginia",Putnam County,West Virginia,56450
"Raleigh County, West Virginia",Raleigh County,West Virginia,73361
"Randolph County, West Virginia",Randolph County,West Virginia,28695
"Ritchie County, West Virginia",Ritchie County,West Virginia,9554
"Roane County, West Virginia",Roane County,West Virginia,13688
"Summers County, West Virginia",Summers County,West Virginia,12573
"Taylor County, West Virginia",Taylor County,West Virginia,16695
"Tucker County, West Virginia",Tucker County,West Virginia,6839
"Tyler County, West Virginia",Tyler County,West Virginia,8591
"Upshur County, West Virginia",Upshur County,West Virginia,24176
"Wayne County, West Virginia",Wayne County,West Virginia,39402
"Webster County, West Virginia",Webster County,West Virginia,8114
"Wetzel County, West Virginia",Wetzel County,West Virginia,15065
"Wirt County, West Virginia",Wirt County,West Virginia,5821
"Wood County, West Virginia",Wood County,West Virginia,83518
"Wyoming County, West Virginia",Wyoming County,West Virginia,20394
"Adams County, Wisconsin",Adams County,Wisconsin,20220
"Ashland County, Wisconsin",Ashland County,Wisconsin,15562
"Barron County, Wisconsin",Barron County,Wisconsin,45244
"Bayfield County, Wisconsin",Bayfield County,Wisconsin,15036
"Brown County, Wisconsin",Brown County,Wisconsin,264542
"Buffalo County, Wisconsin",Buffalo County,Wisconsin,13031
"Burnett County, Wisconsin",Burnett County,Wisconsin,15414
"Calumet County, Wisconsin",Calumet County,Wisconsin,50089
"Chippewa County, Wisconsin",Chippewa County,Wisconsin,64658
"Clark County, Wisconsin",Clark County,Wisconsin,34774
"Columbia County, Wisconsin",Columbia County,Wisconsin,57532
"Crawford County, Wisconsin",Crawford County,Wisconsin,16131
"Dane County, Wisconsin",Dane County,Wisconsin,546695
"Dodge County, Wisconsin",Dodge County,Wisconsin,87839
"Door County, Wisconsin",Door County,Wisconsin,27668
"Douglas County, Wisconsin",Douglas County,Wisconsin,43150
"Dunn County, Wisconsin",Dunn County,Wisconsin,45368
"Eau Claire County, Wisconsin",Eau Claire County,Wisconsin,104646
"Florence County, Wisconsin",Florence County,Wisconsin,4295
"Fond du Lac County, Wisconsin",Fond du Lac County,Wisconsin,103403
"Forest County, Wisconsin",Forest County,Wisconsin,9004
"Grant County, Wisconsin",Grant County,Wisconsin,51439
"Green County, Wisconsin",Green County,Wisconsin,36960
"Green Lake County, Wisconsin",Green Lake County,Wisconsin,18913
"Iowa County, Wisconsin",Iowa County,Wisconsin,23678
"Iron County, Wisconsin",Iron County,Wisconsin,5687
"Jackson County, Wisconsin",Jackson County,Wisconsin,20643
"Jefferson County, Wisconsin",Jefferson County,Wisconsin,84769
"Juneau County, Wisconsin",Juneau County,Wisconsin,26687
"Kenosha County, Wisconsin",Kenosha County,Wisconsin,169561
"Kewaunee County, Wisconsin",Kewaunee County,Wisconsin,20434
"La Crosse County, Wisconsin",La Crosse County,Wisconsin,118016
"Lafayette County, Wisconsin",Lafayette County,Wisconsin,16665
"Langlade County, Wisconsin",Langlade County,Wisconsin,19189
"Lincoln County, Wisconsin",Lincoln County,Wisconsin,27593
"Manitowoc County, Wisconsin",Manitowoc County,Wisconsin,78981
"Marathon County, Wisconsin",Marathon County,Wisconsin,135692
"Marinette County, Wisconsin",Marinette County,Wisconsin,40350
"Marquette County, Wisconsin",Marquette County,Wisconsin,15574
"Menominee County, Wisconsin",Menominee County,Wisconsin,4556
"Milwaukee County, Wisconsin",Milwaukee County,Wisconsin,945726
"Monroe County, Wisconsin",Monroe County,Wisconsin,46253
"Oconto County, Wisconsin",Oconto County,Wisconsin,37930
"Oneida County, Wisconsin",Oneida County,Wisconsin,35595
"Outagamie County, Wisconsin",Outagamie County,Wisconsin,187885
"Ozaukee County, Wisconsin",Ozaukee County,Wisconsin,89221
"Pepin County, Wisconsin",Pepin County,Wisconsin,7287
"Pierce County, Wisconsin",Pierce County,Wisconsin,42754
"Polk County, Wisconsin",Polk County,Wisconsin,43783
"Portage County, Wisconsin",Portage County,Wisconsin,70772
"Price County, Wisconsin",Price County,Wisconsin,13351
"Racine County, Wisconsin",Racine County,Wisconsin,196311
"Richland County, Wisconsin",Richland County,Wisconsin,17252
"Rock County, Wisconsin",Rock County,Wisconsin,163354
"Rusk County, Wisconsin",Rusk County,Wisconsin,14178
"St Croix County, Wisconsin",St Croix County,Wisconsin,90687
"Sauk County, Wisconsin",Sauk County,Wisconsin,64442
"Sawyer County, Wisconsin",Sawyer County,Wisconsin,16558
"Shawano County, Wisconsin",Shawano County,Wisconsin,40899
"Sheboygan County, Wisconsin",Sheboygan County,Wisconsin,115340
"Taylor County, Wisconsin",Taylor County,Wisconsin,20343
"Trempealeau County, Wisconsin",Trempealeau County,Wisconsin,29649
"Vernon County, Wisconsin",Vernon County,Wisconsin,30822
"Vilas County, Wisconsin",Vilas County,Wisconsin,22195
"Walworth County, Wisconsin",Walworth County,Wisconsin,103868
"Washburn County, Wisconsin",Washburn County,Wisconsin,15720
"Washington County, Wisconsin",Washington County,Wisconsin,136034
"Waukesha County, Wisconsin",Waukesha County,Wisconsin,404198
"Waupaca County, Wisconsin",Waupaca County,Wisconsin,50990
"Waushara County, Wisconsin",Waushara County,Wisconsin,24443
"Winnebago County, Wisconsin",Winnebago County,Wisconsin,171907
"Wood County, Wisconsin",Wood County,Wisconsin,72999
"Albany County, Wyoming",Albany County,Wyoming,38880
"Big Horn County, Wyoming",Big Horn County,Wyoming,11790
